,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,0.0,2.5538781318012837e-18,2.023302610399409e-18,2.8057771977221796e-19,0.0,1.2084653509399603e-18,0.0,1.409216538240363e-17,0.0,1.9856926436747482e-18,1.755539559128867e-18,3.2771768692103396e-18,0.0,0.0,0.0,3.369770868436251e-18,0.0,4.0026878970002504e-18
ARCH CAP.GP.,0.0,0.0,0.0,0.0,0.0,0.0,0.010143460180959655,0.0,0.0,2.7803846513620388e-18,0.0,0.0,3.1826598107818695e-18,0.0010132965440826686,0.0011452442739226867,0.0,0.0,0.0
EVEREST GROUP,3.1514240589023428e-18,0.0,0.0,5.05641723150611e-19,4.1096779461690595e-19,7.963530192625766e-18,0.00020764079579392407,0.0,4.909969099408153e-18,0.0031219598031797173,0.0,0.0,0.009010328614201535,0.002661669453788645,0.04462624865240165,0.067024127272338,0.0253468692023893,0.02804996389314275
NABORS INDUSTRIES,0.0,2.5492396088614755e-18,0.0,1.4571263354243648e-19,3.8169512588890365e-19,3.8859510714938876e-18,0.0,6.884806706215485e-18,2.371563263467379e-18,0.0,3.227538401004885e-18,1.3137650564041695e-19,0.0,0.0,0.0,0.0,1.5462204491465647e-18,8.39414880945997e-18
RENAISSANCERE HDG.,0.011604976464165835,0.018245727968349015,0.022945352977838826,2.2844577927721568e-18,0.0,0.0,0.0,0.0,0.0,0.03260270056642918,0.01938554996246382,0.0036935026101735076,0.00934151836925319,0.003801112473974265,0.012310285982113622,0.030824293180357572,0.0038463252407841767,0.009930473512222539
SIGNET JEWELERS,9.54832098800072e-20,1.2131209351449642e-18,0.0,1.5188269372363608e-18,0.0,4.008673610579484e-18,1.3652838326497469e-18,2.2493146885708495e-18,0.0,7.180794051921005e-19,2.0176440569050999e-19,1.5334683192547813e-18,1.279468037353635e-18,7.306217564551735e-19,0.0,0.0,0.0,3.7288057758143697e-19
WHITE MOUNTAINS IN.GP.,0.0,0.0,0.0,0.0,1.9651948686361806e-18,9.48079371607586e-19,1.7091875492442813e-18,9.312987664246482e-19,0.0,2.328683046451364e-18,0.01128845845501442,0.0222749162198506,0.012685965503832615,0.00658774403768686,0.004801944414306978,0.0,0.0,0.010738228414947534
ARC RESOURCES,0.0,5.285101712584929e-18,0.0,0.0,0.0,3.932900134136354e-18,5.2482644311764925e-18,0.0,3.211363062187749e-18,4.662327786245493e-18,0.0,2.8680416294738062e-18,4.471492296346465e-18,0.0,1.5611643011253318e-19,0.0,4.263343184891014e-18,3.5385119810092164e-18
AGNICO-EAGLE MNS. (NYS),0.03341695324716832,0.017387333276116534,0.010009460830371334,0.03647117766066177,0.0,1.3421612101094417e-18,4.920331539717357e-18,5.777865488794696e-18,0.0,0.0,0.02178566121213643,0.045009089258477755,0.03736451040716403,0.04039620156469336,0.03789135345340917,0.04313432516214389,0.0,3.5989428944410216e-18
ALIMENTATION COUCHE TARD,0.0,0.0,0.0,1.3691991929664495e-18,3.0071057449986163e-18,0.0,0.0,1.0652816136737945e-19,6.383186858353336e-19,1.0548208075892318e-18,0.0,0.012562868002100332,0.02631251318377768,0.029059794197971733,0.023718160918666055,0.02966365305559653,0.0,1.1807792784701438e-18
BCE,0.02248727500405115,0.030590229600673886,0.05668455409346675,0.010895475659504635,3.582671293800957e-18,0.0,4.2910519531277144e-18,0.0,1.4842677954953289e-18,0.0,0.0,0.0,0.006331123670892705,5.0153880489378606e-18,0.0,0.0,0.0,0.0
BALLARD PWR.SYS. (NAS),2.4959749105944404e-18,1.1381599320342028e-18,3.410750790062639e-18,0.0,0.0,2.4238985171848647e-20,0.0,1.3130879261982375e-18,0.0,0.0,0.0,0.0,4.671943973764142e-19,0.0,0.0,0.0,0.0,0.0
BANK OF MONTREAL,0.0,0.004077354311356778,0.0,0.00017194433235039936,1.74508698395435e-18,6.339499068962247e-18,0.0,0.0,0.0,0.0,0.0,1.7115769350931341e-18,4.783127030942945e-19,0.0,0.0,0.0,0.0,0.0
BK.OF NOVA SCOTIA,1.974674575137771e-18,1.8201464068423975e-19,0.0,0.0,0.0,0.0,6.111802441109626e-21,3.1414744328995106e-18,5.595269606101377e-19,0.0,0.0,0.0,0.0,0.0,8.9184872503469e-19,0.0,0.0,2.870567392695857e-18
BARRICK GOLD (NYS),3.562362018316265e-19,2.087644826491758e-18,4.492719065497313e-18,0.0,0.017924560348706656,2.253701603164118e-18,0.017077673805796525,0.010687659161365838,0.0184069382840472,0.00441180718889774,0.027953370228048804,0.00485533247619394,0.016376797900691926,0.0073055395311312585,0.0007551478515408971,7.708748819097556e-20,0.00997494182720156,0.01858796985658343
BAUSCH HEALTH (NYS) COMPANIES,2.1830973163475295e-19,0.0,0.008644489879712352,0.0025833534501599935,0.0,0.0,0.0,0.0,2.636842007623117e-18,0.0075670332649289416,0.0,0.00014973635280211145,0.03177642471543326,0.023525358486274472,0.01558796655840383,0.0,0.0,0.0
BLACKBERRY (NYS),0.0,0.0,0.0,0.0,0.0,5.1816309299632314e-18,2.659529475700853e-18,4.168639971014352e-18,0.0,4.952389946125722e-20,7.486210718879782e-19,2.4049669221406753e-18,1.3411139834258924e-18,6.451146704399688e-19,5.200093984502988e-18,6.095995357323918e-19,0.0,2.5294676504904645e-19
